Tweets,ID,len,Date,Source,Likes,RTs,Location
نت #stc الالياف كل ما جاه يصير ابطىء امس حتى نتفلكس مو راضي يشتغل ,1.05724E+18,,10/30/2018 11:50,7asanoh5,0,1,
من خبره طويله مع الشركات كلها اعتقد STC الالياف هي افضل السئين ,1.05172E+18,,10/15/2018 6:08,y_rayg,0,0,
بصراحة الانترنت عندي ب #الرس له فترة وهو تعب في تعب #stc الألياف لازم ثابت والحي مافيه خطوط واللي يبي يرفع ماصورة ويستقبل من حي ثاني وجع راس ,1.04899E+18,,10/7/2018 17:32,bader4994_1,0,1,
 من الخاص : سلام عليكم ابغى رقم مندوب STC الالياف البصريه ؟,1.03774E+18,,9/6/2018 16:39,ask_riyadh1,4,1,
 مـﻧـــ الخاصــ سلام عليكم اخوي ابغا رقم مندوب STC الالياف البصريه,1.0371E+18,,9/4/2018 21:58,ask_almadina,0,0,
 من الخاص سلام عليكم اخوي ابغا رقم مندوب STC الالياف البصريه #المدينة_المنورة #اسال_المدينة,1.03708E+18,,9/4/2018 20:46,Almadina_Ask,1,0,
#كم_سرعة_الانترنت_عندكم والله الالياف في البيت صاروخ جربت #موبايلي وحالياً #stc الالياف ممتازه لاكن الشرائح سيئه والمفوتره ٤٠٠ ريال برضو صاروخ,1.03504E+18,,8/30/2018 5:55,almelunirah1,0,0,
#NAME?,1.03096E+18,,8/18/2018 23:19,jhgnjg,0,0,
الانترنت المنزلي stc الألياف هو الأفضل أما الجوال فاعتقد زين,1.00884E+18,,6/18/2018 22:39,badrhassn66,0,0,
#من_الخاص مساء الخير الله يعطيك العافيه ممكن رقم جوال مندوب stc الالياف البصرية,1.00595E+18,,6/10/2018 23:03,Al_Rimal1,2,4,
قاعد احس بمعاناتكم مع نت stc .. الالياف نعمة والله,1.00163E+18,,5/30/2018 1:16,DesAkK9,0,0,
السلام عليكم ورحمة الله وبركاتة متى تشرفون الحي بأحد الخدمتين الألياف البصريه من @STC الألياف الضوئية من @موبايلي قبل نادي الرياض شارع مغيرة ، انتظركم بفارغ الصبر من سنييييين @Mobily1100 @STCcare,9.9595E+17,,5/14/2018 8:51,kfow0,0,0,
#كيف_النت_معك_اليوم فيه تحسن في النت بس باقي ما وصل لمستوى الي يستاهل الفلوس الي تندفع فيه طبعا اتكلم عن الشرايح 4g stc الالياف ما عندنا تغطية ,9.85862E+17,,4/16/2018 12:44,F_00_SH,0,0,
اقل لك خذ stc الالياف تجي فوق 50 يعني على حسب مكان النت عندك,9.80775E+17,,4/2/2018 11:54,vAnas1_,0,0,
انتر نت الالياف البصريه انسى يعلق النت او يتعطل او تروح الشبكة وتجي مثل STC .. الالياف جايه عن طريق امدادات الياف بصريه عن طريق البحر من دول اخرى يعني STC مالها اي فضل بسرعة النت مجرد يفعلون لك الخدمة فقط .. انصح بستخدامها وبقوه ..,9.61588E+17,,2/8/2018 13:09,ahsaas_raeg,1,1,
اذا انت stc الالياف الناس يشتكون منها,9.46085E+17,,12/27/2017 18:26,_nvif,0,0,
الالياف البصرية تدفع ب ٣٠٠ شهري نت مفتوح سرعة ٢٥ ميقا في موبايلي، و stc الالياف البصرية نت مفترح سرعة ٥٠ ميقا ب ٢٥٠,9.45307E+17,,12/25/2017 14:54,Optimistic__33,0,0,
#النسيم_الشرقي_بدون_فايبر_stc الالياف انا قابلة مهندس احد المدراء بهذا المشروع 2011 قالي قبل لا تقفل السنه نكون قد غطينا النسيم كله الياف وللاسف الى الان لم يحدث شي,9.38441E+17,,12/6/2017 16:12,AlmyhobiI,1,1,
Stc الالياف البصرية (النت) للأسف ندفع فواتير والنت يقطع ما ادري وش مشكلتهم وكل ما اتصل عليهم اطلب إصلاح عطل يسجلون لي طلب ولا أستفيد شي العطل مستمر,9.31671E+17,,11/17/2017 23:50,_8997096544733,0,0,
مساء الخير .... هل يوجد مشكلة في خدمة الانترنت الارضي STC الالياف البصرية في حي الياسمين بالرياض الآن ؟؟,9.26846E+17,,11/4/2017 16:16,BANDARS9,0,0,
مساء الخير .... هل يوجد مشكلة في خدمة الانترنت الارضي STC الالياف البصرية في حي الياسمين بالرياض الآن ؟؟,9.26846E+17,,11/4/2017 16:16,BANDARS9,0,0,
مساء الخير .... هل يوجد مشكلة في خدمة الانترنت الارضي STC الالياف البصرية في حي الياسمين الآن ؟؟,9.26845E+17,,11/4/2017 16:12,BANDARS9,0,0,
#هل_لديك_الياف_بصريه STC الألياف عندهم سيء واذا كلمتهم قالو لك صيانه صيانتهم ماراح تخلص الا 2030?!,9.26061E+17,,11/2/2017 12:17,Naif__3210,0,0,
@STCcare @CITC_SA هذه حالة خدمة STC الالياف من فترة تزيد عن شهرين رغم رفع عدة بلاغات!! السرعة والخدمة المشترك فيها 50M ويتم الدفع شهرياً! ,9.19306E+17,,10/14/2017 20:58,Anasalansari,0,0,
@STCcare السلام عليكم، عندي جهاز stc الالياف البصريه، وابي احول المنفذين ٣،٤ من انفجن الى نت عادي مثل المنفذين ١،٢ بانتظار ردكم بالحل ,9.14155E+17,,9/30/2017 15:49,saad_1145,0,0,
@STCcare السلام عليكم، عندي جهاز stc الالياف البصريه، وابي احول المنفذين ٣،٤ من انفجن الى نت عادي مثل المنفذين ١،٢ بانتظار ردكم بالحل .,9.14126E+17,,9/30/2017 13:54,saad_1145,0,0,
النت زباله اليوم STC الالياف والجوال كلهم يفصلون وبطييء جداً,9.11373E+17,,9/22/2017 23:34,ahasses9,2,0,
STC الالياف بلس,9.01511E+17,,8/26/2017 18:24,qp_mr_,0,0,
عرص حصرى من STC الالياف البصريه وDSL التأسيس مجانى شهرين 80 80 انتر نت لا محدود + تليفون ثابت للاستفسار التواصل عبر الاتصال 0536187915حامد ,8.87054E+17,,7/17/2017 20:59,amrabonor123,0,0,
لا ، stc الالياف البصرية ممتاز ,8.84107E+17,,7/9/2017 17:49,awees_awees,0,0,
نفسي اجرب نت STC الالياف ، ناس كثير يمدحونه,8.75035E+17,,6/14/2017 16:58,allowroe,0,0,
تشغل k4 هههههههههههه هذا مع غير stc الالياف تشغل الhd بشيء من الصعوبة رغم ان السرعات تصل الى ٦٠,8.74656E+17,,6/13/2017 15:53,twaaq0133,0,0,
@STCcare @STC_KSA شكلي بلغي اشتراك #stc الالياف كثير من اصحابي يمدحون #موبايلي اصبح همهم فقط البيع اما استمرار الخدمه بشكل ممتاز لا,8.65351E+17,,5/18/2017 23:39,katem911,0,0,
#فايروس_يعطل_Stc الالياف متعطلة من امس ولا قدروا يصلحونها عندي ولا يردون علي,8.63769E+17,,5/14/2017 14:53,megapansh,0,0,
#STC #الالياف_البصرية هل الابلود والبنق طبيعية,8.62401E+17,,5/10/2017 20:16,nawaf_iasdi,0,0,
اقوى عروض STC الالياف البصريه اول شهرين 80 ريال للشهر وباقي الاشهر 200 ريال للشهر المودم والتركيب وصيانة فترة الخدمه مجانا 0556963423,8.54117E+17,,4/17/2017 23:40,Mahmoud60300,0,0,
اقوى عروض STC الالياف البصريه اول شهرين 80 ريال للشهر وباقي الاشهر 200 ريال للشهر المودم والتركيب وصيانة فترة الخدمه مجانا 0556963423,8.54103E+17,,4/17/2017 22:41,Mahmoud60300,0,0,
#راح_نفلسكم_262_stc الالياف البصرية اكبر كذبه بطئ شديد واهمال من الشركة,8.39797E+17,,3/9/2017 11:15,momo140010,0,0,
اليوم الاثنين مودم STC الألياف البصرية fiber FTTH للشراء http://www.mstaml.com/2174669 #سلامتك_بدر_المشاري,8.33751E+17,,2/20/2017 18:49,MstamlIT,0,0,
مين قالك ههههههههههه انا احمل بالتيرا وما صار شيء stc الالياف محدود 190 جيجا يوميا (كلام واحد اعرفه),8.09911E+17,,12/17/2016 0:01,Awesome94_a,0,0,
اللي يستخدمون stc الالياف البصريه معلقه عندكم ولا بس انا ؟ ابي اتطمن ,8.09363E+17,,12/15/2016 11:41,h4r_,0,0,
#stc#الرياض#الفلاح#stc#الألياف البصرية#غير صالحة ,7.99459E+17,,11/18/2016 3:47,baseljfrawi,0,0,
نهاية محرم اذا ماتعدل الوضع ونزلت الأسعار سأقوم بإيقاف Stcالألياف بعد عشرة طويلة واحول على go او زين #مقاطعه_stc_وقت_الدوام,7.825E+17,,10/2/2016 8:37,inobel1979,0,0,
اشتركت في stc الالياف البصرية والسرعه 20 بإشتراك 200 ريال شهرياًمع امكانية زيادة السرعة الى 50 ب 250 ريال ,7.81436E+17,,9/29/2016 10:10,AbdallhBa3bad,0,0,
اكبر كذبه ل stc الالياف البصريه :),7.81221E+17,,9/28/2016 19:55,fukofz,0,0,
اذا تبي نت للجوال خذ شريحة زين باقة شباب واذا تبي نت للبيت ركّب stc الالياف البصرية وريّح بالك,7.81077E+17,,9/28/2016 10:25,Pride_poet,0,0,
توصلي stc الالياف تعبت مع بطئ النت #امنيه_العيد_مع_ملاك_الحسيني,7.75285E+17,,9/12/2016 10:47,jvud823,0,0,
stc الالياف حقتهم زينه,7.72401E+17,,9/4/2016 11:47,nohasx1,0,0,
#STC الالياف البصريه ,7.69605E+17,,8/27/2016 18:40,Aziiiz_01,0,0,
شسالفتكم مع الشبكه؟ بالعكس stc الالياف البصريه اطلق نت بالدنيا https://twitter.com/ivhz1/status/765207495950344192,7.65224E+17,,8/15/2016 16:31,SWEEZ_AlAHli,0,0,
#حزب_الي_يكرهون_stc الالياف البصريه ^_^,7.60833E+17,,8/3/2016 13:42,s3don007,0,1,
يخرب بيتكم ي STC الألياف من ٢٠٠٧ وانا من سكان الرياض الكبينه عندي م تدعم الا ٤ ميقا يلعن امممم الفساد ي مسلمين .,7.58579E+17,,7/28/2016 8:24,khaledalshhrani,0,0,
سرعة النت في الرياض شركة STC الألياف و 4G واحكمو على #سرعة_انترنتstc_الحقيقية,7.56186E+17,,7/21/2016 17:55,d7oom_7o6,0,0,
افضل شيء بالسعودية stc الالياف البصرية غيرك كذاك كلهم فاشلين,7.55763E+17,,7/20/2016 13:55,07abdullahArh,0,0,
stc الالياف مافيه استخدام عادل و 200 ميقا ب 400 ريال,7.55688E+17,,7/20/2016 8:56,MrSmsm0,0,0,
اللي يبي يرتاح يشترك في STC الالياف البصرية كلمة روعة قليل في حقهم #STC,7.52174E+17,,7/10/2016 16:12,aqn26221,0,0,
#السعوديه_تعاني_من_ضعف_الشبكه للبيت : مودم STC الالياف البصرية للجوال : شريحة زين باقة شباب جربوها وبتغيرون وجهة نظركم ,7.51213E+17,,7/8/2016 0:35,Pride_poet,8,4,
عندي زين 4G وSTC الالياف البصريه كلهم احلى من بعض ,7.47611E+17,,6/28/2016 2:03,atef3393,0,0,
ومودم الSTC الالياف البصرية تركيبه مجاني وسريع سرعة غير طبيعية ورسوم الاشتراك فيه ٩٠ ريال شهرياً !! افضل عرض بتاريخ الSTC ,7.47604E+17,,6/28/2016 1:35,Pride_poet,1,0,
#NAME?,7.44677E+17,,6/19/2016 23:43,Almo7ammadi,0,0,
@dubayan مشهور انا عندي هذا المودم من STC الالياف البصرية حلو وكل شيء للتصفح واليوتوب لأكن اذا جيت العب البنق مخيس! ,7.44652E+17,,6/19/2016 22:04,rdgregtrgrgreg,0,0,
#ماذا_قدمت_لنا_Stc الالياف البصريه ,7.42004E+17,,6/12/2016 14:42,Abdulleh_Saud,1,0,
1/3 Stc - (الالياف البصرية والإنترنت )وسوء الخدمة هذه جزء من معاناتي خلال ثلاث الايام السابقة، ماهي الخدمة المقدمة للعميل رغم الاتصالات,7.38411E+17,,6/2/2016 16:45,abduallah424,0,0,
مودم stc الألياف البصرية افضل من موبايلي بمراحل,7.33751E+17,,5/20/2016 20:05,m_s_al3mri,0,0,
STCالالياف البصريه حقتهم ثابته و ستقراه ما جربت حقت موبايلي بس اتوقف موبايلي ارخص سعر ,7.32552E+17,,5/17/2016 12:44,abdulaziz_33a,0,0,
احلى شي في STC الالياف .. وذي ,7.27523E+17,,5/3/2016 15:39,RM70_,0,1,
@9illii @M_3azzef @srll8 اذا شبكة جوال مافيه مثل زين .. اذا شبكة بيت مافيه زي stc الالياف البصرية ,7.11279E+17,,3/19/2016 19:52,Pride_poet,0,0,
"بعد لعبة حزر رقم الكبينة مع مندوب STC , الالياف وصلت @@",7.04698E+17,,3/1/2016 16:00,FinalInc,0,0,
#NAME?,6.95196E+17,,2/4/2016 10:43,tashkandi_asim,0,0,
من #الذكريات الشبة جميلة. #نص_ميقا_STC #الألياف #نت #سياسة_الأستخدام_العادل #قديمك,6.9327E+17,,1/30/2016 3:11,alsalmi_alharbi,0,0,
#NAME?,6.76644E+17,,12/15/2015 6:05,_NTZ1,0,0,
@abuabdelelah @STCcare شكراً #stc #الألياف_البصريه ,6.73774E+17,,12/7/2015 8:01,Almheed_24,0,0,
#NAME?,6.72076E+17,,12/2/2015 15:33,Limietd,0,0,
خوذوها من الاخر شركة stc الالياف البصرية عندهم ممتازة ويشكرون عليها ام الي تشتغل على الابراج خياس واول اسبوع سريعة بعدين #انترنت_STC_ضعيف,6.72065E+17,,12/2/2015 14:48,20_Mishari_Anzi,0,0,
#NAME?,6.70673E+17,,11/28/2015 18:38,aboali5812,0,0,
حسبي الله على #stc الالياف عندي لها٣٧ ساعه خربانه بسبب قطع الكيبل الي يوصل للعمارة بسبب الحفريات وهم وفريقهم الميداني ماحطين بي #الله_يصبرني,6.40085E+17,,9/5/2015 8:51,abdulrahman_J79,0,0,
@GarooSama انا عانيت مع النت اكثر من ١٠ سنين لين جت الالياف ، والحين انا بنعمه مايعلم به الا الله .. طبعاً STC الالياف,6.38459E+17,,8/31/2015 21:11,_hmoodi12331,0,0,
#NAME?,6.37258E+17,,8/28/2015 13:38,Dr_widz,0,0,
مودم STC الألياف الجديد يعطي السرعة كاملة بالواير لس شكرًا لسرعة استجابتكم @STCcare @STC_KSA,6.2422E+17,,7/23/2015 14:08,Suliman_Alawadh,0,1,
#stc_قبه_أستنزاف_بدون_خدمات عندي راوتر شريحة زين والله انه اسرع من مودم stcالالياف البصريه مع العلم ان ابراج زين بعيده وابراج stc قريبه,6.20698E+17,,7/13/2015 20:54,eeee1987,2,2,
#NAME?,6.1922E+17,,7/9/2015 19:02,__iA22,0,0,
النت عندكم ضعيف مودم #stc (الالياف البصرية) مثلنا ولا المشكلة عندي بس يعني انا ادفع ٤٠٠ ريال في الشهر على الهاتف الثابت ليش ؟!!!,6.16648E+17,,7/2/2015 16:41,AboFahad_3,0,1,
#NAME?,6.13421E+17,,6/23/2015 18:57,amriraqi,0,0,
STC الالياف البصريه في الرياض حي الياسمين فيها مشكله عند الكل ولا بس عندي من الصبح والنت فاصل والدعم الفني ٩٠٦ ما يخليك تتكلم مع الموظف,6.07209E+17,,6/6/2015 15:33,saam19111,0,0,
#NAME?,6.02639E+17,,5/25/2015 0:54,c6bmtalal,0,0,
#انقطاع_stc الالياف ما يقطع عليهم ... ما شاء الله,5.88591E+17,,4/16/2015 6:34,Mr29th,0,0,
#جدة #حراج مودم stc الالياف البصريه للبيع: مودم stc الالياف البصريه استخدام م... http://bit.ly/1FF1XZN التفاصيل بالرابط,5.87581E+17,,4/13/2015 11:40,7ragksa,0,0,
وش الاحسن Mobily eLife وإلا STC الالياف البصرية؟,5.73364E+17,,3/5/2015 6:06,majoodi,0,0,
STC - الألياف البصرية FTTH http://www.stc.com.sa/wps/wcm/connect/arabic/individual/internet/atHome/ftthOpticalFiber عبر @STC_KSA,5.72591E+17,,3/3/2015 2:56,mohamedksa012,0,0,
#NAME?,5.54021E+17,,1/10/2015 21:02,da_atc,1,2,
#NAME?,5.20278E+17,,10/9/2014 18:19,Icant,0,0,
@fa6imah احنا لمن حولنا كانت الاسلاك حقه جاهزة و مافيه تخريب حتى صحبتي و خالتي ركبوه !! لا حق STC الالياف كويسة,5.1831E+17,,10/4/2014 8:01,ShiningCrystall,0,0,
 س/لمتابعيني فالسعوديه: ماهوأفضل مودم منزلي من خلال تجربتك كوني جربت stc الألياف البصرية رسوم ٣٩٩﷼ماعجبني وش رايكم بزين؟,5.16619E+17,,9/29/2014 16:00,Abdullahbndr,0,4,
STC - الألياف البصرية FTTH http://www.stc.com.sa/wps/wcm/connect/arabic/individual/internet/atHome/ftthOpticalFiber عبر @STC_KSA,5.03376E+17,,8/24/2014 2:57,Alsbeae50,0,0,
#NAME?,5.01412E+17,,8/18/2014 16:53,taresh43411,0,0,
STC - الألياف البصرية FTTH http://www.stc.com.sa/wps/wcm/connect/arabic/individual/internet/atHome/ftthOpticalFiber عبر @STC_KSA,4.95389E+17,,8/2/2014 2:03,BEiLTz,0,0,
#NAME?,4.70676E+17,,5/25/2014 21:21,abdullah7720,0,0,
نصحني احد الزملاء بعدم الاشتراك مع stcالالياف البصرية لانه صعب الغائه-- والحين مزعجيني بالاتصالات يبغوني اشترك,4.51056E+17,,4/1/2014 17:57,khalidarafah,0,0,
STC - الألياف البصرية FTTH http://www.stc.com.sa/wps/wcm/connect/arabic/individual/internet/atHome/ftthOpticalFiber عبر @STC_KSA,4.44629E+17,,3/15/2014 0:19,joo_Alh,0,0,
#NAME?,4.28569E+17,,1/29/2014 16:43,3bady455,0,0,
يوجد خلل في إنترنت الاتصالات STC الألياف البصرية للمنازل لاتعمل هل من احد عنده معلومات ؟؟؟؟,4.27124E+17,,1/25/2014 17:02,Co00ol_Ice,0,2,
STC - الألياف البصرية FTTH http://www.stc.com.sa/wps/wcm/connect/arabic/individual/internet/atHome/ftthOpticalFiber via @STC_KSA,4.23426E+17,,1/15/2014 12:06,mhnd6858gmailco,0,0,
المعرفة الاقتصادية توقع اتفاقية شراكة مع #الاتصالات_السعودية http://bit.ly/19uMzOz #STC #الألياف_الضوئية #Fiber,4.1287E+17,,12/17/2013 8:59,alyaum_eco,0,0,
STC - الألياف البصرية FTTH http://www.stc.com.sa/wps/wcm/connect/arabic/individual/internet/atHome/ftthOpticalFiber عبر @twitterapi,4.07198E+17,,12/1/2013 17:21,1294Saleh,0,0,
الزبده احسن شي سووه STC الالياف البصريه والله يالنت شوي وينفجر من السرعه الزبده ماودي اتحرك من عند اليوتيوب ,4.0468E+17,,11/24/2013 18:37,THGH_,0,0,
STC - الألياف البصرية FTTH http://www.stc.com.sa/wps/wcm/connect/arabic/individual/internet/atHome/ftthOpticalFiber عبر @twitterapi,3.94612E+17,,10/27/2013 23:51,khaledk05231444,0,0,
@HamadAbdullstar لا stc الالياف البصريه المخروشه -ـ-“,3.92105E+17,,10/21/2013 1:46,RenoZ_t,0,0,
STC - الألياف البصرية FTTH http://www.stc.com.sa/wps/wcm/connect/arabic/individual/internet/atHome/ftthOpticalFiber via @twitterapi,3.86853E+17,,10/6/2013 13:56,F5AMH7LM,0,0,
وش تنصح أحسن مودم لكود — اذا تبي تزرف الهوست موبايلي.. بس احسن اتصال STC الالياف http://ask.fm/a/6fefcb0j,3.7966E+17,,9/16/2013 17:35,xKan3an,0,0,
@Krm_3 لو تقدر stc الالياف افضل من موبايلي الالياف .. بس لو ماتقدر اشترك بالايلايف عادي افضل من الدي اس ال العادي,3.60777E+17,,7/26/2013 15:02,Aziz_Alfahd,0,0,
@Tdeals يناسب اجهزه stc الالياف البصريه ؟ لان عندي كذا مقوي وماركبوا على الجهاز .,3.57577E+17,,7/17/2013 19:07,sara25ss,0,0,
‏‎@lamia_mutairi‏ مافي زيSTC الالياف البصريه ,3.55003E+17,,7/10/2013 16:36,fahadalqhtani94,0,0,
STC - الألياف البصرية FTTH http://www.stc.com.sa/wps/wcm/connect/arabic/individual/internet/atHome/ftthOpticalFiber via @twitterapi,3.4776E+17,,6/20/2013 16:55,aaamab,1,0,
STC الآلياف البصرية - السلام عليكم ورحمة الله وبركاته الحمدلله... http://ow.ly/2wIEAC,3.32094E+17,,5/8/2013 11:26,adslgate_new,0,0,
النت خايس جداً نفسي امسكة على جنب واقول مو عيب عليك يا اخي جبت stc الالياف فككية و جبت موبايلي ال4G ولا في فايدة الحي في مشكلة ,3.3028E+17,,5/3/2013 11:18,turkiwow,0,0,
#NAME?,3.26387E+17,,4/22/2013 17:27,mohammednazzawi,0,0,
#STC الالياف الضوئية : ) أهلاًأهلاً وأخيراً ؛ كم طال أنتظارك ! ويارب ما تكوني مثل أصدقاءك الي يعلقوا #موبايلي ,3.23061E+17,,4/13/2013 13:10,3zf1993,0,0,
STC - الألياف البصرية FTTH http://www.stc.com.sa/wps/wcm/connect/arabic/individual/internet/atHome/ftthOpticalFiber عبر @twitterapi,3.06508E+17,,2/26/2013 20:58,ored58dored58do,0,0,
STC الألياف الضوئية حي الصحافة لا حياة لمن تنادي بنجيك بكرة ولهم ...,2.99131E+17,,2/6/2013 12:22,sahafh,0,0,
@henaki30 الله يعينك على المعاناة بس تستخدم موبايلي انت صح ! جرب STC الالياف البصرية احسن بكثير من موبايلي برودباند,2.98166E+17,,2/3/2013 20:29,FerasAzooz,0,0,
@CRISPORIHD والله يا stc الالياف خورافي !!!,2.96451E+17,,1/30/2013 2:52,sultanalsultann,0,0,
STC - الألياف البصرية FTTH http://www.stc.com.sa/wps/wcm/connect/arabic/individual/internet/atHome/ftthOpticalFiber عبر @twitterapi,2.92045E+17,,1/17/2013 23:06,monaalabdullah8,0,0,
STC - الألياف البصرية FTTH http://www.stc.com.sa/wps/wcm/connect/arabic/individual/internet/atHome/ftthOpticalFiber عبر @twitterapi,2.90884E+17,,1/14/2013 18:12,odra2468,0,0,
