Tweets,ID,Date,Likes,RTs,clean_text,sentiment
STC الالياف البصريه ماشاء الله قوية بلا منازع لدرجه اني تعبت من قوته عيالي مايتحركون من البيت ويرفضون يطلعون لان النت مسفرهم من مكان لمكان يتيوب وسناب وانستقرام نسينا البطئ في النت ويشبك تقريبا اكثر من سبع اشخاص والقوة هي ما تتغير,1.15738e+18,8/2/2019 20:11,0.0,0.0,STC الالياف البصريه ماشاء اله قويه بلا منازع لدرجه اني تعبت من قوته عيالي مايتحركون من البيت ويرفضون يطلعون لان النت مسفرهم من مكان لمكان يتيوب وسناب وانستقرام نسينا البطئ في النت ويشبك تقريبا اكثر من سبع اشخاص والقوه هي ما تغير,positive
Stc الألياف البصرية على طول انقطاع وبطء,1.15395e+18,7/24/2019 8:54,0.0,1.0,Stc الالياف البصريه علي طول انقطاع وبطء,negative
الحسنة الوحيدة في STC الألياف البصرية,1.15373e+18,7/23/2019 18:26,0.0,0.0,الحسنه الوحيده في STC الالياف البصريه,positive
فنيين stc الألياف البصرية صار لهم جمهور والله دنيا #SuperJuniorInKSA,1.14966e+18,7/12/2019 12:37,0.0,0.0,فنين stc الالياف البصريه صار لهم جمهور واله دنيا SuperJuniorInKSA,positive
#NAME?,1.13062e+18,5/20/2019 23:35,0.0,0.0,NAME,neutral
نت stc الالياف صاير زفت نتفلكس مو راضي يفتح,1.12593e+18,5/8/2019 1:09,0.0,0.0,نت stc الالياف صاير زفت نتفلكس مو راضي يفتح,negative
ياشباب.. هل يلزمني الاشتراك في التطبيق برسوم؟؟ علما انني مشترك في احدى باقات stc الالياف البصرية شامل ريسيفر القنوات التلفزيونية ومنها دوري بلس,1.12324e+18,4/30/2019 15:13,0.0,0.0,ياشباب هل يلزمني الاشتراك في التطبيق برسوم علما اني مشترك في احدي باقات stc الالياف البصريه شامل ريسيفر القنوات التلفزيونيه ومنها دوري بلس,neutral
انا stc الألياف بس كان الظهر حلو والحين صار زقققق مدري لييييه,1.11825e+18,4/16/2019 20:13,0.0,0.0,انا stc الالياف بس كان الظهر حلو والحين صار زق مدري ليه,negative
من الخاص : السلام عليكم... انا من سكان حي الشعله من شهر 3 الماضي شريت بيت وسكنت فيه والى الان ماتم تركيب علب stc الالياف الضوئية... هل في احد نفس حالتي? اغلب البيوت فيها.. وراجعت وstc وكلمتهم ولاحياه لمن تنادي... هل احد عنده علم متى تتركب الالياف للبيوت المتبقيه؟ وشكرا,1.10672e+18,3/16/2019 1:00,0.0,1.0,من الخاص السلام عليكم انا من سكان حي الشعله من شهر 3 الماضي شريت بيت وسكنت فيه والي الان ماتم تركيب علب stc الالياف الضوئيه هل في احد نفس حالتي اغلب البيوت فيها وراجعت وstc وكلمتهم ولاحياه لمن تنادي هل احد عنده علم متي تركب الالياف لبيوت المتبقيه وشكرا,negative
معليش يا STC الألياف بالواسطه وحتى DSL مايوصل بحجة الكبينه لا تدعم ولافيه خدمة تكشف عن الكباين وإصلاح المشاكل,1.10094e+18,2/28/2019 2:20,0.0,0.0,معليش يا STC الالياف بالواسطه وحتي DSL مايوصل بحجه الكبينه لا تدعم ولافيه خدمه تكشف عن الكباين واصلاح المشاكل,negative
الحسنة الوحيدة من STC الالياف البصرية وممتازة,1.08795e+18,1/23/2019 5:49,2.0,0.0,الحسنه الوحيده من STC الالياف البصريه ومتازه,positive
اخي الكريم هل المودم تبع الstc ينفع يتعمله تشفير ثنائي لزيادة سرعة الاتصال لاني من الجادين وابغى اتعلم منك وادخل الدورة وجزاك الله كل خير علما ان المودم stc الالياف البصريه والمعروف باللون الاسود,1.08566e+18,1/16/2019 21:49,0.0,0.0,اخي الكريم هل المودم تبع الstc ينفع يتعمله تشفير ثنائي لزياده سرعه الاتصال لاني من الجادين وابغي اتعلم منك وادخل الدوره وجزاك اله كل خير علما ان المودم stc الالياف البصريه والمعروف بالون الاسود,neutral
امس شفت موقع stc الالياف ٥٠ ميقا صارت ب٣٠٠﷼,1.0843e+18,1/13/2019 4:14,0.0,0.0,امس شفت موقع stc الالياف ٥٠ ميقا صارت ب٣٠﷼,neutral
#الالياف_مطلب_خليص نعاني من اتصالات الانترنت ضعيفة جدا @stc #الالياف_مطلب_خليص,1.0837e+18,1/11/2019 12:15,0.0,1.0,الاليافمطلبخليص نعاني من اتصالات الانترنت ضعيفه جدا الاليافمطلبخليص,negative
الحفرية تابعة لشركة STC الألياف البصرية,1.07764e+18,12/25/2018 19:01,0.0,0.0,الحفريه تابعه لشركه STC الالياف البصريه,neutral
#استفسار ايه رئيكم ياجماعه في الشركات المشغله لstc الالياف البصريه وايه افضل شركه ممكن تشتغل معاها ارجو الافاده من اهل الخبره,1.07582e+18,12/20/2018 18:45,0.0,0.0,استفسار ايه رئيكم ياجماعه في الشركات المشغله لstc الالياف البصريه وايه افضل شركه مكن تشتغل معاها ارجو الافاده من اهل الخبره,neutral
انا عندي مشكلة مزمنة مع نت stc الالياف البصرية الـ4G من الجوال يشتغل زي الحلاوة لكن الوايفاي باختبار السرعة (سريع) بس فعلياً بصعوبة يفتح الصور او يشغل فديوهات وطلبت الصيانة اكثر من مرة ومافيه فرق ملحوظ @STCcare,1.07214e+18,12/10/2018 14:27,0.0,0.0,انا عندي مشكله مزمنه مع نت stc الالياف البصريه ال4G من الجوال يشتغل زي الحلاوه لكن الوايفاي باختبار السرعه سريع بس فعلياً بصعوبه يفتح الصور او يشغل فديوهات وطلبت الصيانه اكثر من مره ومافيه فرق ملحوظ,negative
Stc الألياف ممتاز عندي الخطوط لو بس ينزلون سعر الطيران الداخلي لأنه صار مبالغ فيه,1.0706e+18,12/6/2018 8:45,0.0,0.0,Stc الالياف متاز عندي الخطوط لو بس ينزلون سعر الطيران الداخلي لانه صار مبالغ فيه,positive
نت #stc الالياف كل ما جاه يصير ابطىء امس حتى نتفلكس مو راضي يشتغل,1.05724e+18,10/30/2018 11:50,0.0,1.0,نت stc الالياف كل ما جاه يصير ابطيء امس حتي نتفلكس مو راضي يشتغل,negative
من خبره طويله مع الشركات كلها اعتقد STC الالياف هي افضل السئين,1.05172e+18,10/15/2018 6:08,0.0,0.0,من خبره طويله مع الشركات كلها اعتقد STC الالياف هي افضل السئين,positive
بصراحة الانترنت عندي ب #الرس له فترة وهو تعب في تعب #stc الألياف لازم ثابت والحي مافيه خطوط واللي يبي يرفع ماصورة ويستقبل من حي ثاني وجع راس,1.04899e+18,10/7/2018 17:32,0.0,1.0,بصراحه الانترنت عندي ب الرس له فتره وهو تعب في تعب stc الالياف لازم ثابت والحي مافيه خطوط والي يبي يرفع ماصوره ويستقبل من حي ثاني وجع راس,negative
من الخاص : سلام عليكم ابغى رقم مندوب STC الالياف البصريه ؟,1.03774e+18,9/6/2018 16:39,4.0,1.0,من الخاص سلام عليكم ابغي رقم مندوب STC الالياف البصريه,neutral
مـﻧـــ الخاصــ سلام عليكم اخوي ابغا رقم مندوب STC الالياف البصريه,1.0371e+18,9/4/2018 21:58,0.0,0.0,مﻧ الخاص سلام عليكم اخوي ابغا رقم مندوب STC الالياف البصريه,neutral
من الخاص سلام عليكم اخوي ابغا رقم مندوب STC الالياف البصريه #المدينة_المنورة #اسال_المدينة,1.03708e+18,9/4/2018 20:46,1.0,0.0,من الخاص سلام عليكم اخوي ابغا رقم مندوب STC الالياف البصريه المدينهالمنوره اسالالمدينه,neutral
#من_الخاص مساء الخير الله يعطيك العافيه ممكن رقم جوال مندوب stc الالياف البصرية,1.00595e+18,6/10/2018 23:03,2.0,4.0,منالخاص مساء الخير اله يعطيك العافيه مكن رقم جوال مندوب stc الالياف البصريه,positive
قاعد احس بمعاناتكم مع نت stc .. الالياف نعمة والله,1.00163e+18,5/30/2018 1:16,0.0,0.0,قاعد احس بمعاناتكم مع نت stc الالياف نعمه واله,positive
#كيف_النت_معك_اليوم فيه تحسن في النت بس باقي ما وصل لمستوى الي يستاهل الفلوس الي تندفع فيه طبعا اتكلم عن الشرايح 4g stc الالياف ما عندنا تغطية,9.85862e+17,4/16/2018 12:44,0.0,0.0,كيفالنتمعكاليوم فيه تحسن في النت بس باقي ما وصل لمستوي الي يستاهل الفلوس الي تندفع فيه طبعا اتكلم عن الشرايح 4g stc الالياف ما عندنا تغطيه,negative
اقل لك خذ stc الالياف تجي فوق 50 يعني على حسب مكان النت عندك,9.80775e+17,4/2/2018 11:54,0.0,0.0,اقل لك خذ stc الالياف تجي فوق 50 يعني علي حسب مكان النت عندك,neutral
انتر نت الالياف البصريه انسى يعلق النت او يتعطل او تروح الشبكة وتجي مثل STC .. الالياف جايه عن طريق امدادات الياف بصريه عن طريق البحر من دول اخرى يعني STC مالها اي فضل بسرعة النت مجرد يفعلون لك الخدمة فقط .. انصح بستخدامها وبقوه ..,9.61588e+17,2/8/2018 13:09,1.0,1.0,انتر نت الالياف البصريه انسي يعلق النت او يتعطل او تروح الشبكه وتجي مثل STC الالياف جايه عن طريق امدادات الياف بصريه عن طريق البحر من دول اخري يعني STC مالها اي فضل بسرعه النت مجرد يفعلون لك الخدمه فقط انصح بستخدامها وبقوه,negative
اذا انت stc الالياف الناس يشتكون منها,9.46085e+17,12/27/2017 18:26,0.0,0.0,اذا انت stc الالياف الناس يشتكون منها,negative
#النسيم_الشرقي_بدون_فايبر_stc الالياف انا قابلة مهندس احد المدراء بهذا المشروع 2011 قالي قبل لا تقفل السنه نكون قد غطينا النسيم كله الياف وللاسف الى الان لم يحدث شي,9.38441e+17,12/6/2017 16:12,1.0,1.0,النسيمالشرقيبدونفايبرstc الالياف انا قابله مهندس احد المدراء بهذا المشروع 201 قالي قبل لا تقفل السنه نكون قد غطينا النسيم كله الياف ولاسف الي الان لم يحدث شي,negative
Stc الالياف البصرية (النت) للأسف ندفع فواتير والنت يقطع ما ادري وش مشكلتهم وكل ما اتصل عليهم اطلب إصلاح عطل يسجلون لي طلب ولا أستفيد شي العطل مستمر,9.31671e+17,11/17/2017 23:50,0.0,0.0,Stc الالياف البصريه النت لاسف ندفع فواتير والنت يقطع ما ادري وش مشكلتهم وكل ما اتصل عليهم اطلب اصلاح عطل يسجلون لي طلب ولا استفيد شي العطل مستمر,negative
مساء الخير .... هل يوجد مشكلة في خدمة الانترنت الارضي STC الالياف البصرية في حي الياسمين بالرياض الآن ؟؟,9.26846e+17,11/4/2017 16:16,0.0,0.0,مساء الخير هل يوجد مشكله في خدمه الانترنت الارضي STC الالياف البصريه في حي الياسمين بالرياض الان,neutral
مساء الخير .... هل يوجد مشكلة في خدمة الانترنت الارضي STC الالياف البصرية في حي الياسمين الآن ؟؟,9.26845e+17,11/4/2017 16:12,0.0,0.0,مساء الخير هل يوجد مشكله في خدمه الانترنت الارضي STC الالياف البصريه في حي الياسمين الان,neutral
#هل_لديك_الياف_بصريه STC الألياف عندهم سيء واذا كلمتهم قالو لك صيانه صيانتهم ماراح تخلص الا 2030?!,9.26061e+17,11/2/2017 12:17,0.0,0.0,هلديكاليافبصريه STC الالياف عندهم سيء واذا كلمتهم قالو لك صيانه صيانتهم ماراح تخلص الا 2030,negative
@STCcare @CITC_SA هذه حالة خدمة STC الالياف من فترة تزيد عن شهرين رغم رفع عدة بلاغات!! السرعة والخدمة المشترك فيها 50M ويتم الدفع شهرياً!,9.19306e+17,10/14/2017 20:58,0.0,0.0,هذه حاله خدمه STC الالياف من فتره تزيد عن شهرين رغم رفع عده بلاغات السرعه والخدمه المشترك فيها 50M ويتم الدفع شهرياً,negative
@STCcare السلام عليكم، عندي جهاز stc الالياف البصريه، وابي احول المنفذين ٣،٤ من انفجن الى نت عادي مثل المنفذين ١،٢ بانتظار ردكم بالحل,9.14155e+17,9/30/2017 15:49,0.0,0.0,السلام عليكم عندي جهاز stc الالياف البصريه وابي احول المنفذين ٣٤ من انفجن الي نت عادي مثل المنفذين ١٢ بانتظار ردكم بالحل,neutral
@STCcare السلام عليكم، عندي جهاز stc الالياف البصريه، وابي احول المنفذين ٣،٤ من انفجن الى نت عادي مثل المنفذين ١،٢ بانتظار ردكم بالحل .,9.14126e+17,9/30/2017 13:54,0.0,0.0,السلام عليكم عندي جهاز stc الالياف البصريه وابي احول المنفذين ٣٤ من انفجن الي نت عادي مثل المنفذين ١٢ بانتظار ردكم بالحل,neutral
النت زباله اليوم STC الالياف والجوال كلهم يفصلون وبطييء جداً,9.11373e+17,9/22/2017 23:34,2.0,0.0,النت زباله اليوم STC الالياف والجوال كلهم يفصلون وبطيء جداً,negative
STC الالياف بلس,9.01511e+17,8/26/2017 18:24,0.0,0.0,STC الالياف بلس,neutral
عرص حصرى من STC الالياف البصريه وDSL التأسيس مجانى شهرين 80 80 انتر نت لا محدود + تليفون ثابت للاستفسار التواصل عبر الاتصال 0536187915حامد,8.87054e+17,7/17/2017 20:59,0.0,0.0,عرص حصري من STC الالياف البصريه وDSL التاسيس مجاني شهرين 80 80 انتر نت لا محدود تليفون ثابت لاستفسار التواصل عبر الاتصال 0536187915حامد,neutral
لا ، stc الالياف البصرية ممتاز,8.84107e+17,7/9/2017 17:49,0.0,0.0,لا stc الالياف البصريه متاز,positive
نفسي اجرب نت STC الالياف ، ناس كثير يمدحونه,8.75035e+17,6/14/2017 16:58,0.0,0.0,نفسي اجرب نت STC الالياف ناس كثير يمدحونه,neutral
تشغل k4 هههههههههههه هذا مع غير stc الالياف تشغل الhd بشيء من الصعوبة رغم ان السرعات تصل الى ٦٠,8.74656e+17,6/13/2017 15:53,0.0,0.0,تشغل k4 ه هذا مع غير stc الالياف تشغل الhd بشيء من الصعوبه رغم ان السرعات تصل الي ٦٠,negative
#فايروس_يعطل_Stc الالياف متعطلة من امس ولا قدروا يصلحونها عندي ولا يردون علي,8.63769e+17,5/14/2017 14:53,0.0,0.0,فايروسيعطلStc الالياف متعطله من امس ولا قدروا يصلحونها عندي ولا يردون علي,negative
#STC #الالياف_البصرية هل الابلود والبنق طبيعية,8.62401e+17,5/10/2017 20:16,0.0,0.0,STC الاليافالبصريه هل الابلود والبنق طبيعيه,neutral
اقوى عروض STC الالياف البصريه اول شهرين 80 ريال للشهر وباقي الاشهر 200 ريال للشهر المودم والتركيب وصيانة فترة الخدمه مجانا 0556963423,8.54117e+17,4/17/2017 23:40,0.0,0.0,اقوي عروض STC الالياف البصريه اول شهرين 80 ريال لشهر وباقي الاشهر 20 ريال لشهر المودم والتركيب وصيانه فتره الخدمه مجانا 056963423,neutral
#راح_نفلسكم_262_stc الالياف البصرية اكبر كذبه بطئ شديد واهمال من الشركة,8.39797e+17,3/9/2017 11:15,0.0,0.0,راحنفلسكم262stc الالياف البصريه اكبر كذبه بطئ شديد واهمال من الشركه,negative
اليوم الاثنين مودم STC الألياف البصرية fiber FTTH للشراء http://www.mstaml.com/2174669 #سلامتك_بدر_المشاري,8.33751e+17,2/20/2017 18:49,0.0,0.0,اليوم الاثنين مودم STC الالياف البصريه fiber FTH لشراء سلامتكبدرالمشاري,neutral
مين قالك ههههههههههه انا احمل بالتيرا وما صار شيء stc الالياف محدود 190 جيجا يوميا (كلام واحد اعرفه),8.09911e+17,12/17/2016 0:01,0.0,0.0,مين قالك ه انا احمل بالتيرا وما صار شيء stc الالياف محدود 190 جيجا يوميا كلام واحد اعرفه,neutral
اللي يستخدمون stc الالياف البصريه معلقه عندكم ولا بس انا ؟ ابي اتطمن,8.09363e+17,12/15/2016 11:41,0.0,0.0,الي يستخدمون stc الالياف البصريه معلقه عندكم ولا بس انا ابي اتطمن,negative
#stc#الرياض#الفلاح#stc#الألياف البصرية#غير صالحة,7.99459e+17,11/18/2016 3:47,0.0,0.0,stcالرياضالفلاحstcالالياف البصريهغير صالحه,negative
اشتركت في stc الالياف البصرية والسرعه 20 بإشتراك 200 ريال شهرياًمع امكانية زيادة السرعة الى 50 ب 250 ريال,7.81436e+17,9/29/2016 10:10,0.0,0.0,اشتركت في stc الالياف البصريه والسرعه 20 باشتراك 20 ريال شهرياًمع امكانيه زياده السرعه الي 50 ب 250 ريال,neutral
اكبر كذبه ل stc الالياف البصريه :),7.81221e+17,9/28/2016 19:55,0.0,0.0,اكبر كذبه ل stc الالياف البصريه,negative
توصلي stc الالياف تعبت مع بطئ النت #امنيه_العيد_مع_ملاك_الحسيني,7.75285e+17,9/12/2016 10:47,0.0,0.0,توصلي stc الالياف تعبت مع بطئ النت امنيهالعيدمعملاكالحسيني,negative
#STC الالياف البصريه,7.69605e+17,8/27/2016 18:40,0.0,0.0,STC الالياف البصريه,neutral
شسالفتكم مع الشبكه؟ بالعكس stc الالياف البصريه اطلق نت بالدنيا https://twitter.com/ivhz1/status/765207495950344192,7.65224e+17,8/15/2016 16:31,0.0,0.0,شسالفتكم مع الشبكه بالعكس stc الالياف البصريه اطلق نت بالدنيا,positive
#حزب_الي_يكرهون_stc الالياف البصريه ^_^,7.60833e+17,8/3/2016 13:42,0.0,1.0,حزباليكرهونstc الالياف البصريه,neutral
يخرب بيتكم ي STC الألياف من ٢٠٠٧ وانا من سكان الرياض الكبينه عندي م تدعم الا ٤ ميقا يلعن امممم الفساد ي مسلمين .,7.58579e+17,7/28/2016 8:24,0.0,0.0,يخرب بيتكم ي STC الالياف من ٢٠٧ وانا من سكان الرياض الكبينه عندي م تدعم الا ٤ ميقا يلعن ام الفساد ي مسلمين,negative
سرعة النت في الرياض شركة STC الألياف و 4G واحكمو على #سرعة_انترنتstc_الحقيقية,7.56186e+17,7/21/2016 17:55,0.0,0.0,سرعه النت في الرياض شركه STC الالياف و 4G واحكمو علي سرعهانترنتstcالحقيقيه,neutral
افضل شيء بالسعودية stc الالياف البصرية غيرك كذاك كلهم فاشلين,7.55763e+17,7/20/2016 13:55,0.0,0.0,افضل شيء بالسعوديه stc الالياف البصريه غيرك كذاك كلهم فاشلين,positive
stc الالياف مافيه استخدام عادل و 200 ميقا ب 400 ريال,7.55688e+17,7/20/2016 8:56,0.0,0.0,stc الالياف مافيه استخدام عادل و 20 ميقا ب 40 ريال,negative
اللي يبي يرتاح يشترك في STC الالياف البصرية كلمة روعة قليل في حقهم #STC,7.52174e+17,7/10/2016 16:12,0.0,0.0,الي يبي يرتاح يشترك في STC الالياف البصريه كلمه روعه قليل في حقهم STC,positive
ومودم الSTC الالياف البصرية تركيبه مجاني وسريع سرعة غير طبيعية ورسوم الاشتراك فيه ٩٠ ريال شهرياً !! افضل عرض بتاريخ الSTC,7.47604e+17,6/28/2016 1:35,1.0,0.0,ومودم الSTC الالياف البصريه تركيبه مجاني وسريع سرعه غير طبيعيه ورسوم الاشتراك فيه ٩٠ ريال شهرياً افضل عرض بتاريخ الSTC,neutral
@dubayan مشهور انا عندي هذا المودم من STC الالياف البصرية حلو وكل شيء للتصفح واليوتوب لأكن اذا جيت العب البنق مخيس!,7.44652e+17,6/19/2016 22:04,0.0,0.0,مشهور انا عندي هذا المودم من STC الالياف البصريه حلو وكل شيء لتصفح واليوتوب لاكن اذا جيت العب البنق مخيس,neutral
#ماذا_قدمت_لنا_Stc الالياف البصريه,7.42004e+17,6/12/2016 14:42,1.0,0.0,ماذاقدمتلناStc الالياف البصريه,neutral
1/3 Stc - (الالياف البصرية والإنترنت )وسوء الخدمة هذه جزء من معاناتي خلال ثلاث الايام السابقة، ماهي الخدمة المقدمة للعميل رغم الاتصالات,7.38411e+17,6/2/2016 16:45,0.0,0.0,13 Stc الالياف البصريه والانترنت وسوء الخدمه هذه جزء من معاناتي خلال ثلاث الايام السابقه ماهي الخدمه المقدمه لعميل رغم الاتصالات,negative
احلى شي في STC الالياف .. وذي,7.27523e+17,5/3/2016 15:39,0.0,1.0,احلي شي في STC الالياف وذي,positive
"بعد لعبة حزر رقم الكبينة مع مندوب STC , الالياف وصلت @@",7.04698e+17,3/1/2016 16:00,0.0,0.0,بعد لعبه حزر رقم الكبينه مع مندوب STC الالياف وصلت,neutral
من #الذكريات الشبة جميلة. #نص_ميقا_STC #الألياف #نت #سياسة_الأستخدام_العادل #قديمك,6.9327e+17,1/30/2016 3:11,0.0,0.0,من الذكريات الشبه جميله نصميقاSTC الالياف نت سياسهالاستخدامالعادل قديمك,positive
@abuabdelelah @STCcare شكراً #stc #الألياف_البصريه,6.73774e+17,12/7/2015 8:01,0.0,0.0,شكراً stc الاليافالبصريه,positive
خوذوها من الاخر شركة stc الالياف البصرية عندهم ممتازة ويشكرون عليها ام الي تشتغل على الابراج خياس واول اسبوع سريعة بعدين #انترنت_STC_ضعيف,6.72065e+17,12/2/2015 14:48,0.0,0.0,خوذوها من الاخر شركه stc الالياف البصريه عندهم متازه ويشكرون عليها ام الي تشتغل علي الابراج خياس واول اسبوع سريعه بعدين انترنتSTCضعيف,positive
حسبي الله على #stc الالياف عندي لها٣٧ ساعه خربانه بسبب قطع الكيبل الي يوصل للعمارة بسبب الحفريات وهم وفريقهم الميداني ماحطين بي #الله_يصبرني,6.40085e+17,9/5/2015 8:51,0.0,0.0,حسبي اله علي stc الالياف عندي لها٣٧ ساعه خربانه بسب قطع الكيبل الي يوصل لعماره بسب الحفريات وهم وفريقهم الميداني ماحطين بي الهيصبرني,negative
@GarooSama انا عانيت مع النت اكثر من ١٠ سنين لين جت الالياف ، والحين انا بنعمه مايعلم به الا الله .. طبعاً STC الالياف,6.38459e+17,8/31/2015 21:11,0.0,0.0,انا عانيت مع النت اكثر من ١٠ سنين لين جت الالياف والحين انا بنعمه مايعلم به الا اله طبعاً STC الالياف,positive
مودم STC الألياف الجديد يعطي السرعة كاملة بالواير لس شكرًا لسرعة استجابتكم @STCcare @STC_KSA,6.2422e+17,7/23/2015 14:08,0.0,1.0,مودم STC الالياف الجديد يعطي السرعه كامله بالواير لس شكرًا لسرعه استجابتكم,positive
النت عندكم ضعيف مودم #stc (الالياف البصرية) مثلنا ولا المشكلة عندي بس يعني انا ادفع ٤٠٠ ريال في الشهر على الهاتف الثابت ليش ؟!!!,6.16648e+17,7/2/2015 16:41,0.0,1.0,النت عندكم ضعيف مودم stc الالياف البصريه مثلنا ولا المشكله عندي بس يعني انا ادفع ٤٠ ريال في الشهر علي الهاتف الثابت ليش,negative
STC الالياف البصريه في الرياض حي الياسمين فيها مشكله عند الكل ولا بس عندي من الصبح والنت فاصل والدعم الفني ٩٠٦ ما يخليك تتكلم مع الموظف,6.07209e+17,6/6/2015 15:33,0.0,0.0,STC الالياف البصريه في الرياض حي الياسمين فيها مشكله عند الكل ولا بس عندي من الصبح والنت فاصل والدعم الفني ٩٠٦ ما يخليك تكلم مع الموظف,negative
#انقطاع_stc الالياف ما يقطع عليهم ... ما شاء الله,5.88591e+17,4/16/2015 6:34,0.0,0.0,انقطاعstc الالياف ما يقطع عليهم ما شاء اله,negative
#جدة #حراج مودم stc الالياف البصريه للبيع: مودم stc الالياف البصريه استخدام م... http://bit.ly/1FF1XZN التفاصيل بالرابط,5.87581e+17,4/13/2015 11:40,0.0,0.0,جده حراج مودم stc الالياف البصريه لبيع مودم stc الالياف البصريه استخدام م التفاصيل بالرابط,neutral
STC - الألياف البصرية FTTH http://www.stc.com.sa/wps/wcm/connect/arabic/individual/internet/atHome/ftthOpticalFiber عبر @STC_KSA,5.72591e+17,3/3/2015 2:56,0.0,0.0,STC الالياف البصريه FTH عبر,neutral
@fa6imah احنا لمن حولنا كانت الاسلاك حقه جاهزة و مافيه تخريب حتى صحبتي و خالتي ركبوه !! لا حق STC الالياف كويسة,5.1831e+17,10/4/2014 8:01,0.0,0.0,احنا لمن حولنا كانت الاسلاك حقه جاهزه و مافيه تخريب حتي صحبتي و خالتي ركبوه لا حق STC الالياف كويسه,positive
نصحني احد الزملاء بعدم الاشتراك مع stcالالياف البصرية لانه صعب الغائه-- والحين مزعجيني بالاتصالات يبغوني اشترك,4.51056e+17,4/1/2014 17:57,0.0,0.0,نصحني احد الزملاء بعدم الاشتراك مع stcالالياف البصريه لانه صعب الغائه والحين مزعجيني بالاتصالات يبغوني اشترك,neutral
يوجد خلل في إنترنت الاتصالات STC الألياف البصرية للمنازل لاتعمل هل من احد عنده معلومات ؟؟؟؟,4.27124e+17,1/25/2014 17:02,0.0,2.0,يوجد خل في انترنت الاتصالات STC الالياف البصريه لمنازل لاتعمل هل من احد عنده معلومات,negative
